,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,
CE Civil,25967,--,--,28433,--,38205,20700,--,--,--,--,--,19240,38667,--,17630,--,30465,35311,--,65095,32690,--,--,
CH Chemical,--,--,--,17230,--,--,30330,--,--,19987,--,32880,--,--,--,9856,30808,20760,58987,--,--,115802,--,--,
CS Computers,658,--,1226,873,1659,1235,1100,--,3436,395,--,844,501,--,731,242,1451,717,2668,11447,8829,4767,6320,7132,
"CY CS- Cyber
Security",1067,--,--,2195,--,2667,2508,--,--,1177,5075,--,1266,--,--,620,--,2620,13967,--,26998,8463,--,--,
,,,,,,,,,,,,,,,,,,,,,,,,,
"DS Comp. Sc. Engg-
Data Sc.",2027,--,--,1779,--,2300,2221,--,--,659,--,--,1029,--,--,456,2750,1299,10583,--,14262,12615,--,--,
,,,,,,,,,,,,,,,,,,,,,,,,,
EC Electronics,2562,--,--,2828,10543,4999,5547,--,--,1565,--,--,1832,--,4252,761,4743,2665,11988,22018,24848,13670,--,20237,
EE Electrical,7641,--,24901,5967,--,--,5338,--,34415,4147,--,--,5674,--,--,2663,14314,6716,19944,80801,--,25162,--,--,
"EI Elec. Inst.
Engg",14394,--,--,11168,--,--,27441,--,55977,7625,--,20348,8024,--,--,3769,--,7848,50729,--,--,69554,--,--,
,,,,,,,,,,,,,,,,,,,,,,,,,
